H	T	d	Uc	L
2.4	5.83	36.98	1.21	66.9919
1.4	5.85	26.01	-2.12	23.909
9.1	5.86	38.02	0.68	65.7553
4.3	5.95	27.77	-1.17	44.7812
2.71	5.97	31.3	-0.08	55.9608
3.72	6	28.45	-1.38	41.8261
1.21	6.02	49.15	0.25	59.8198
2.24	6.03	30.36	-0.23	54.8147
8.05	6.17	46.89	1.87	85.309
9.35	6.18	49.39	1.46	78.9335
1.99	6.28	37.32	-0.38	57.443
5.75	6.32	46.03	0.23	69.5608
6.8	6.33	48.78	-1.21	49.8543
3.37	6.34	24.09	-1.84	39.3051
6.64	6.4	44.79	-1.07	52.7257
4.31	6.44	30.6	-0.78	57.0408
7.98	6.45	35.18	-0.29	64.7464
1.61	6.46	47.21	1.07	78.5906
4.18	6.46	41.66	0.89	77.955
4.24	6.48	38.16	0.28	71.2628
1.85	6.48	39.63	-2.25	32.0306
4.64	6.51	44.8	1.02	80.8304
2.9	6.51	39.95	0.21	69.8072
6.38	6.52	49.28	-0.47	62.0489
5.69	6.54	25.65	-1.3	50.9676
3.41	6.55	47.48	1.24	83.4003
3.35	6.55	46.5	-2.41	29.3362
3.54	6.55	24.27	-2.11	38.6695
7.76	6.6	48.99	-0.84	61.1516
3.68	6.64	32.31	-1.16	55.404
3.91	6.68	45.28	-1.66	47.8194
6.01	6.73	47.85	-0.41	69.1819
7.43	6.81	42.85	0.16	79.2911
6.8	6.85	38.62	-0.69	70.0717
2.24	6.89	41.46	-0.4	69.2884
5.53	6.96	35.46	-2.04	45.962
4.23	6.98	43.94	-0.66	69.2911
1.85	6.98	39.65	-0.41	71.4198
6.72	7.01	35.78	-2.07	48.3495
3.45	7.05	49.21	-0.96	65.4267
4.11	7.11	46.76	-1.29	62.6671
3.29	7.13	27.39	-1.64	53.5425
5.37	7.16	39.14	-2.2	46.2929
7.53	7.21	47.28	-1.63	59.3009
3.29	7.29	30.99	-2.08	51.555
6.82	7.38	44.72	-0.23	85.5623
6.26	7.39	44.01	-1.5	67.196
4.13	7.49	28.27	-2.34	50.1898
1.64	7.51	48.16	-1.17	69.7951
6.25	7.55	45.63	-1.52	70.6394
3.75	7.62	34.48	-2.36	52.8278
2.35	7.68	41.47	-0.77	80.2828
2.24	7.84	42.45	-1.49	71.5075
8.68	7.87	46.3	-1.21	81.1814
2.4	7.92	43.62	-0.94	81.291
4.33	8.07	45.68	-1.73	74.4001
8.55	8.07	46.02	-2.36	64.1676
4.73	8.24	45.75	-2	73.7652
6.04	8.53	48.79	-1.92	83.2684
3.73	8.72	49.64	-1.56	91.2503
1.57	2.25	36.28	0.8	11.6802
1.09	2.31	25.9	2.04	16.7914
1.83	2.35	28.68	2.2	17.7154
2.69	2.55	26.81	2.02	19.7466
1.69	2.65	38.83	2.4	22.3106
1.62	2.8	41.21	1.29	19.4352
2.47	2.97	30.71	2.32	26.0844
3.67	3.02	27.97	2.42	28.0411
1.83	3.09	34.15	2.37	28.3148
4.23	3.21	41.77	2.5	31.2029
1.78	3.24	49.36	1.65	26.6967
2.22	3.25	40.42	-0.19	16.0414
4.28	3.3	40.44	2.18	30.9421
2.49	3.33	48.27	0.46	20.918
2.23	3.37	38.38	1.68	29.0566
3.22	3.38	39.45	1.4	27.2937
1.98	3.51	30.15	0	19.7683
1.69	3.54	32.57	-0.66	15.2652
1.51	3.63	48.2	-0.67	16.5388
4.03	3.68	40.64	1.87	34.3706
1.9	3.72	44.17	0.72	27.7709
1.52	3.74	26.65	2.26	37.1806
2.74	3.85	32.54	1.5	34.9595
1.2	3.86	43.3	1.15	31.8565
2.92	3.87	48.26	2.27	40.3349
2.71	3.97	45.86	0.07	25.9134
2.91	3.97	39.01	2.01	40.2683
1.06	3.98	37.57	0.51	28.9456
1.79	4.01	19.44	0.5	29.8902
2.53	4.04	21.76	-0.39	23.0527
1.52	4.05	36.15	1.36	36.2252
1.09	4.15	47.95	-0.89	19.6325
3.91	4.16	34.89	2.23	45.1559
4.92	4.19	44.65	1.69	41.5837
1.53	4.26	43.98	2.35	46.5814
3.11	4.27	39.04	1.75	42.3871
2.07	4.29	34.08	1.72	42.8859
1.39	4.34	45.81	-0.28	27.6542
3.52	4.37	35.37	1.84	45.9374
2.07	4.52	43.79	2.07	49.439
5.11	4.57	26.34	1.54	46.9063
4.24	4.58	47.31	1.68	48.9431
3.59	4.59	48.34	-0.91	25.4362
1.46	4.59	41.13	-0.29	30.9702
1.16	4.64	38.96	2.27	52.6882
3.69	4.65	40.69	-0.46	30.7493
3.01	4.7	25.9	0.07	37.0406
4.99	4.71	28.04	1.55	49.1314
2.23	4.74	20.54	0.51	40.6922
2.37	4.76	43.59	2.25	55.2845
2.08	4.81	33.57	0.99	45.8238
3.24	4.82	42.16	0.58	43.523
1.57	4.86	21.28	-1.59	19.9244
1.14	4.88	25.8	-0.39	33.6
1.56	4.9	30.06	1.96	55.2256
1.29	4.98	49.59	0.16	40.5841
2.57	4.98	28.51	-0.1	40.6547
2.55	4.99	26.97	-0.5	35.7296
6.33	5	34.26	1.01	51.0194
4.4	5.02	29.11	0.07	41.3581
2.41	5.02	29.81	0.36	44.0645
4.02	5.04	41.48	0.86	50.4857
7.47	5.08	33.13	1.07	53.9467
4.71	5.12	35.4	2.16	62.9613
4.97	5.18	28.3	-0.5	38.9318
8.8	5.25	40.97	1.74	63.5434
5.4	5.27	42.34	0.66	51.4183
2.63	5.28	32.34	0.78	52.581
3.25	5.34	43.64	1.61	61.8229
5.8	5.36	47.24	0.16	48.724
4.09	5.37	25.7	-1.23	33.2093
4.22	5.38	41.48	2.47	70.7048
2.47	5.51	27.67	-1.88	23.5869
2.66	5.56	36.04	-1.09	37.6207
